Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Apr 11 16:04:04 EDT 2020,RunS20A4Tests.java,1586635444218,19726,0,(I)1(R)1(I)2(D)2(F)1(D)4,0.2727272727272727,54.54545454545454,0.0,9.090909090909092,0.0,0.0,0.5789473684210527,0.0,0.3157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Apr 11 16:04:04 EDT 2020,RunS20A4Tests.java, 1586635444218
2,,Sat Apr 11 16:04:24 EDT 2020,Server.java,1586635464279,15043408,0,(D)1(F)1(D)3(F)3(I)1(R)1(I)1(F)1(I)1(F)4(I)1(F)3,0.19047619047619047,19.047619047619047,0.0,57.14285714285714,0.0,0.0,0.0013959981386691485,0.0,2.6590440736555206E-4,7.977132220966563E-4,0.0,6.647610184138802E-5,2.6590440736555206E-4,0.0,[]
3,,Sat Apr 11 20:18:33 EDT 2020,Server.java,1586650713909,9573,9573,(F)1(I)6(R)3(I)7(R)2(I)5,0.75,0.0,0.0,4.166666666666666,0.0,0.0,2.6666666666666665,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,2.0,0.0,[]
4,,Sat Apr 11 20:18:43 EDT 2020,Server.java,1586650723680,9,9,(I)7(R)3(I)7(R)2(I)6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Sat Apr 11 20:18:43 EDT 2020,Server.java,1586650723968,3004,3004,(R)2(I)16(R)2(I)5,0.84,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,1.3333333333333333,7.0,0.0,[]
6,,Sat Apr 11 20:18:46 EDT 2020,Server.java,1586650726979,2543,2543,(I)1(R)2(I)22,0.92,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,11.5,0.0,[]
7,,Sat Apr 11 20:18:49 EDT 2020,Server.java,1586650729680,7714,7714,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,[]
8,,Sat Apr 11 20:18:57 EDT 2020,Server.java,1586650737499,-708,-708,(I)3(R)1(I)19,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
9,,Sat Apr 11 20:18:57 EDT 2020,Server.java,1586650737378,25248,0,(I)4(R)1(I)11(R)7,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.32,0.6,0.0,[]
10,,Sat Apr 11 20:19:23 EDT 2020,Server.java,1586650763131,2112,2112,(R)1(I)15(R)3(I)1,0.8,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,[]
11,,Sat Apr 11 20:19:25 EDT 2020,Server.java,1586650765386,4146,4146,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
12,,Sat Apr 11 20:19:29 EDT 2020,Server.java,1586650769695,1765,1765,(I)3(R)1(I)11(R)1(I)5(R)1(I)3,0.88,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,[]
13,,Sat Apr 11 20:19:31 EDT 2020,Server.java,1586650771575,3523,3523,(I)8(R)1(I)5(R)1(I)5(R)1(I)4,0.88,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,1.0,7.333333333333333,0.0,[]
